interaction_id,work_id,work_title,source_start_offset,source_end_offset,source_original_target,source_original_processed_file,context,target,generated_pinyin,pinyin_syllables,candidates,target_rank,polyphonic_flag,missing_cause,notes
9add2b844e54eaf7a628a069,qinhuai_river,槳聲燈影裏的秦淮河,29,31,重來,qinhuai_river.txt,同游秦淮河平伯是初泛我是,重来,zhonglai,zhong lai,1:中来 | 2:中 | 3:种 | 4:重 | 5:仲 | 6:众 | 7:钟 | 8:锺 | 9:忠 | 10:终,,true,pinyin_problem,“重来”在此意为再次，应读 chonglai，不是 zhonglai。
7f5881c84025bc0f8ff4e495,congcong,匆匆,510,513,如輕煙,congcong.txt,外又賸些什么呢过去的日子,如轻烟,ruqingyan,ru qing yan,1:如轻言 | 2:乳清 | 3:入情 | 4:如 | 5:入 | 6:乳 | 7:汝 | 8:儒 | 9:茹 | 10:辱,,true,rare_or_literary_vocabulary,完整文学性短语，读音正确，但词组未进入前十候选。
b4ad2b0b11c445f9e7da347d,moonlight_over_lotus_pond,荷塘月色,1166,1168,春餘,moonlight_over_lotus_pond.txt,尔其纤腰束素迁延顾步夏始,春余,chunyu,chun yu,1:春雨 | 2:淳于 | 3:醇郁 | 4:𬭚于 | 5:唇语 | 6:纯欲 | 7:䲠鱼 | 8:春 | 9:纯 | 10:唇,,true,rare_or_literary_vocabulary,古典引文中的罕见表达。
194352a5838c458831319f3e,ahe,阿河,1498,1500,一響,ahe.txt,报来想再细看一回忽然门钮,一响,yixiang,yi xiang,1:一项 | 2:一向 | 3:意象 | 4:意向 | 5:一想 | 6:臆想 | 7:异乡 | 8:一箱 | 9:已向 | 10:异响,,false,candidate_coverage_problem,常规短语且读音正确，候选词表未覆盖。
9538311fd8c46f8a2f0e7dfe,ahe,阿河,2297,2299,甚厚,ahe.txt,如要流出来的样子她的发不,甚厚,shenhou,shen hou,1:身后 | 2:深厚 | 3:申猴 | 4:神 | 5:沈 | 6:沉 | 7:深 | 8:身 | 9:甚 | 10:申,,false,rare_or_literary_vocabulary,较少见的书面组合。
28c80e881689f7b9ce4f29a1,ahe,阿河,789,791,阿河,ahe.txt,诉我女用人来了她的名字叫,阿河,ahe,a he,1:啊和 | 2:啊 | 3:阿 | 4:吖 | 5:锕 | 6:嗄 | 7:呵 | 8:腌 | 9:吁 | 10:ㄚ,,true,proper_name,人物名“阿河”。
99622a4f3ef30699323d74e7,ahe,阿河,2327,2329,儿香,ahe.txt,一般只可惜我不曾闻著一些,儿香,erxiang,er xiang,1:而向 | 2:二项 | 3:儿媳 | 4:儿戏 | 5:二喜 | 6:儿嬉 | 7:儿息 | 8:而 | 9:二 | 10:儿,,true,segmentation_problem,“儿香”是上下文切分产生的不自然片段。
11d8079e6740e4b105ecbcc0,ahe,阿河,3146,3148,西間,ahe.txt,去我想这件事有些尴尬便到,西间,xijian,xi jian,1:席间 | 2:溪涧 | 3:习见 | 4:息肩 | 5:稀见 | 6:歙肩 | 7:西涧 | 8:袭击 | 9:希冀 | 10:西吉,,false,candidate_coverage_problem,“西间”语义完整、读音正确，但候选未覆盖。
3352be14f5f06ec195497017,qinhuai_river,槳聲燈影裏的秦淮河,3288,3290,中橋,qinhuai_river.txt,人天色一黑她们的船就在大,中桥,zhongqiao,zhong qiao,1:钟敲 | 2:中窍 | 3:中期 | 4:中气 | 5:重器 | 6:终期 | 7:种起 | 8:种脐 | 9:中起 | 10:中企,,false,proper_name,桥名/地名“大中桥”的组成部分。
1eaf66cf26068ec9155db70b,qinhuai_river,槳聲燈影裏的秦淮河,3646,3648,窘著,qinhuai_river.txt,道不要于是那人重到我处我,窘著,jiongzhu,jiong zhu,1:囧住 | 2:囧 | 3:迥 | 4:炯 | 5:窘 | 6:冂 | 7:冏 | 8:皛 | 9:扃 | 10:垧,,true,pinyin_problem,“窘著”中的“著”为动态助词，应读 zhe。
17a759001f70e02b37c6fcb8,to_my_late_wife,給亡婦,130,132,閏兒,to_my_late_wife.txt,长得结实极了比我高一个头,闰儿,runer,run er,1:润而 | 2:润 | 3:闰 | 4:𥆧 | 5:閠 | 6:犉 | 7:撋 | 8:橍 | 9:膶 | 10:㠈,,true,proper_name,人物名“闰儿”。
cfea9f0641ff5b0f61e15c23,ahe,阿河,1198,1200,半藍,ahe.txt,蓝色毛绳鞋鞋口还缀著两个,半蓝,banlan,ban lan,1:斑斓 | 2:斑谰 | 3:斒斓 | 4:办 | 5:版 | 6:半 | 7:班 | 8:板 | 9:般 | 10:搬,,true,segmentation_problem,“半蓝”是颜色描写中的不自然边界。
2ce1d33b419466fcd7e7c60b,ahe,阿河,4085,4089,鹿死誰手,ahe.txt,娶她你娶她就好了现在不知,鹿死谁手,lusisheishou,lu si shei shou,1:露丝谁收 | 2:露丝 | 3:鹭鸶 | 4:卢斯 | 5:鲁斯 | 6:路 | 7:陆 | 8:录 | 9:鲁 | 10:卢,,true,candidate_coverage_problem,常见成语，读音正确但未进入前十。
08d1082f5ce02986b655f339,ahe,阿河,3900,3902,堅約,ahe.txt,和韦小姐告别而行韦君夫妇,坚约,jianyue,jian yue,1:简约 | 2:检阅 | 3:僭越 | 4:俭约 | 5:践约 | 6:俭月 | 7:简阅 | 8:鉴于 | 9:监狱 | 10:见于,,true,rare_or_literary_vocabulary,“坚约”为少见书面表达。
39a06265957753761f34791b,qinhuai_river,槳聲燈影裏的秦淮河,5442,5444,如睡,qinhuai_river.txt,我们的船已在她的臂膊里了,如睡,rushui,ru shui,1:入睡 | 2:如水 | 3:入水 | 4:汝水 | 5:如 | 6:入 | 7:乳 | 8:汝 | 9:儒 | 10:茹,,false,rare_or_literary_vocabulary,文学性谓语组合。
d6460df8a2311ccfa6521cc9,beiying,背影,262,264,事忙,beiying.txt,浦口下午上车北去父亲因为,事忙,shimang,shi mang,1:视盲 | 2:是 | 3:时 | 4:事 | 5:使 | 6:市 | 7:式 | 8:试 | 9:石 | 10:十,,true,segmentation_problem,“事忙”是句法片段，独立候选自然度低。
